url,phone_numbers,social_media_links,addresses,error
http://oceancurrent.com,41808267116; 41719745380; 39810174615; 41719668408; 41808298508; 41808308142; 41808308175; 42214266896; 39810173436; 41719610900; 42083778035; 41697411203; 41808282484; 41808282517; 39810174582; 42111333204; 42083523231; 41808267182; 39810174124; 42083861430; 42083851370; 39810176319; 41719668474; 42083523297; 39810174353; 41808308207; 39810174386; 41719610933; 41596074623; 39810173632; 41764048765; 42083851403; 42083778003; 42083638935; 41697413464; 41869736411; 39810174419; 41719750164; 42083638870; 42083523264; 41588990967; 41763986669; 42083638902; 41697908588; 41764051845; 41588821065; 39810173403; 42085728026; 42083861364; 41719750066; 42083851305; 42214266962; 41588990935; 41763986702; 41719670997; 41719668441; 41763986636; 41719670931; 42214258016; 41719671029; 39810173599; 39810175533; 41869736476; 42085727994; 41697406746; 39810173534; 41719610867; 42083787342; 42214319423; 42214319358; 41763974906; 39810174451; 41697413529; 42214266863; 39810176581; 41719758454; 41697413562; 41764051943; 42214266929; 39810176680; 42083787309; 41764051878; 42214258081; 41709993197; 42111333171; 42083523330; 41697908555; 41869736509; 41697411236; 42085728059; 41596074655; 39810174091; 41588991033; 41753452773; 39810174517; 42083861397; 41596074557; 41588821000; 42083787276; 42214319325; 39810175434; 42083861332; 41808298541; 41808282452; 39810176614; 41596074590; 41764048830; 39810173567; 39810175500; 41709993263; 41808267149; 42111291097; 41697411137; 41763974938; 39810174025; 39810176385; 41719745478; 42111333105; 41719758520; 41808267215; 39810175467; 42083777937; 42214348456; 41709993230; 41763974971; 41753452904; 41808282419; 41697406714; 41588991000; 41764051910; 41719668375; 42111291064; 42083851337; 41697413497; 41719750131; 41719745446; 39810174550; 41763974873; 41709993164; 41719610835; 42083787374; 41588820967; 41808308240; 41763986735; 41753452839; 41764048797; 39810176647; 41764048732; 39810176352; 42083777970; 41588821033; 42085728092; 39810173370; 42214348521; 42214348488; 41697908523; 41869736444; 42214258049; 41753452806; 42214319390; 42111291162; 39810173468; 41808298475; 41697406812; 41697908621; 41719758487; 41808298442; 41697406779; 42214257983; 41697411170; 39810174058; 39810176417; 41719758422; 42111291130; 42111333138; 41719745413; 42083638837; 41753452871; 42214348554; 41719670964; 41719750099,"{'facebook': ['https://www.facebook.com/oceancurrent'], 'twitter': [], 'linkedin': [], 'instagram': ['https://www.instagram.com/oceancurrent'], 'youtube': []}",,
http://arnoldprint.com,7173925491,"{'facebook': [], 'twitter': [], 'linkedin': [], 'instagram': [], 'youtube': []}","53 Eastman Ave,",
http://deepdivecounseling.net,,"{'facebook': [], 'twitter': [], 'linkedin': [], 'instagram': [], 'youtube': []}",,
http://forcht-law.com,,"{'facebook': [], 'twitter': [], 'linkedin': [], 'instagram': [], 'youtube': []}",,"HTTPSConnectionPool(host='forcht-law.com', port=443): Read timed out. (read timeout=15)"
http://graciejoplin.com,,"{'facebook': ['https://www.facebook.com/shiloh.burchfield', 'https://www.facebook.com/profile.php', 'https://www.facebook.com/graciejoplin', 'https://www.facebook.com/Ghettotacos417', 'https://www.facebook.com/zach.lawson.54', 'https://www.facebook.com/rob.gaul.3', 'https://www.facebook.com/jason.rios.16547008'], 'twitter': [], 'linkedin': [], 'instagram': [], 'youtube': []}",,
http://itpc-usa.com,,"{'facebook': ['https://www.facebook.com/wix'], 'twitter': ['https://www.twitter.com/wix'], 'linkedin': [], 'instagram': ['https://www.instagram.com/wix'], 'youtube': []}",,
http://scienceeducators.org,,"{'facebook': [], 'twitter': [], 'linkedin': [], 'instagram': [], 'youtube': []}",,"HTTPConnectionPool(host='scienceeducators.org', port=80): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPConnection object at 0x000001DF6B087DF0>: Failed to resolve 'scienceeducators.org' ([Errno 11001] getaddrinfo failed)""))"
http://directdrivelogistics.com,,"{'facebook': [], 'twitter': [], 'linkedin': [], 'instagram': [], 'youtube': []}","Copyright © 2025 Direct Drive Logistics, Inc.",
http://gsbphoto.com,,"{'facebook': [], 'twitter': [], 'linkedin': [], 'instagram': [], 'youtube': []}",,
http://pinehavenresort.com,,"{'facebook': ['https://www.facebook.com/NorLightsCasino', 'https://www.facebook.com/login', 'https://www.facebook.com/Pine-Haven-Resort-on-Blackwater-Lake-130381357029056', 'https://www.facebook.com/bearpausetheater', 'https://www.facebook.com/HackCFC'], 'twitter': [], 'linkedin': [], 'instagram': [], 'youtube': []}",,
http://cavachonsofoklahoma.com,,"{'facebook': [], 'twitter': [], 'linkedin': [], 'instagram': [], 'youtube': []}",,
http://fuecid.shop,,"{'facebook': [], 'twitter': [], 'linkedin': [], 'instagram': [], 'youtube': []}",,"HTTPConnectionPool(host='fuecid.shop', port=80): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPConnection object at 0x000001DF6B086AD0>: Failed to resolve 'fuecid.shop' ([Errno 11001] getaddrinfo failed)""))"
http://janellesrestaurant.com,,"{'facebook': [], 'twitter': [], 'linkedin': [], 'instagram': [], 'youtube': []}",,"HTTPConnectionPool(host='janellesrestaurant.com', port=80): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPConnection object at 0x000001DF6B086F10>: Failed to resolve 'janellesrestaurant.com' ([Errno 11001] getaddrinfo failed)""))"
http://peacefulwolftaichi.com,,"{'facebook': [], 'twitter': [], 'linkedin': [], 'instagram': [], 'youtube': []}",,
http://uomosport.com,3102050407,"{'facebook': ['https://www.facebook.com/UOMOSPORT2016'], 'twitter': ['https://www.twitter.com/uomo_sport'], 'linkedin': ['https://www.linkedin.com/company/uomo-sport'], 'instagram': ['https://www.instagram.com/uomo_sport'], 'youtube': []}",,
http://warnby.com,,"{'facebook': [], 'twitter': [], 'linkedin': [], 'instagram': [], 'youtube': []}",,"HTTPConnectionPool(host='warnby.com', port=80): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPConnection object at 0x000001DF6B086BE0>: Failed to resolve 'warnby.com' ([Errno 11001] getaddrinfo failed)""))"
http://antiochassistedliving.com,,"{'facebook': [], 'twitter': [], 'linkedin': [], 'instagram': [], 'youtube': []}",,
